,track_id,combo
0,5E30LdtzQTGqRvNd7l6kG5,alt-rock alternative rock
1,2K7xn816oNHJZ0aVqdQsha,alt-rock alternative rock
2,2QjOHCTQ1Jl3zawyYOpxh6,alt-rock alternative pop rock
3,6rrKbzJGGDlSZgLphopS49,alt-rock alternative rock
4,0AUyNF6iFxMNQsNx2nhtrw,alt-rock alternative rock
5,75fT19n6ZQHr67Mkh86qfD,alt-rock alternative funk metal rock
6,1tRpraJDpEUl0HjnkMosqx,alt-rock alternative funk metal rock
7,2AEdT2ZKd14kzOouzdNOUj,alt-rock alternative funk metal
8,23PvWFdi76vER4p1e2Xroj,alt-rock alternative dance rock
9,5xUhs6dlfkcxZM8zq7riYF,alt-rock alternative funk metal rock
10,62pennq1pcVBFVW1b1CrFu,alt-rock alternative funk metal rock
11,1yZWmKmLfTrFCxHvhFsdoN,alt-rock alternative rock
12,0v8tmDMQrTMavluubqAJo4,alt-rock alternative funk metal rock
13,2UCoAOZGk6a4BHUBzlvfAO,alt-rock alternative dance
14,5SVYqPYpje5JDG2O969oz6,alt-rock alternative dance rock
15,12cG3BUpk6PzLAzWK0mryO,alt-rock alternative funk metal rock
16,34ldTowcv56E2DqtSaYBjP,alt-rock alternative dance rock
17,6QvYmrqFKRSVrcVgvoA7Ar,alt-rock alternative funk metal rock
18,58yD1ZePlS6V4gImXGV8Ed,alt-rock alternative funk metal rock
19,2cwOhw3d0uIsR4krTsrLwF,alt-rock alternative dance rock
20,6ehaWPjsNSf5HWOXTEFSUi,alt-rock alternative dance rock
21,5HNau9WX6OmX2PcBn3n24r,alt-rock alternative funk metal rock
22,3omnDqXnlC4awZfUrGQSDN,alt-rock alternative dance rock
23,5KaVoEhxf1UwParyAjzHVA,alt-rock alternative dance rock
24,71BwuaJ5VjGx9EJdrc9OX2,alt-rock alternative dance rock
25,47dUWyurHWefCpINwcvit2,alt-rock alternative funk metal rock
26,52cFhaPuS5oLrmFoJw4J9j,alt-rock alternative dance rock
27,4xnB2yGAeXOuR3kJ9KTD3b,alt-rock alternative funk metal rock
28,1gu8VJ0d28EsXtcgKzJcSl,alt-rock alternative dance rock
29,315FrAki9HoxEdG8CQuZhD,alt-rock alternative dance rock
30,2QLFTiSNgt6cT3aQdeGFhd,alt-rock alternative dance rock
31,2S3G868WlDZNtfwZiDKPRx,alt-rock alternative dance rock
32,77s65ayZ3gXbqMV8jKH1A3,alt-rock alternative dance rock
33,7GEQkaJPZmph6xtzXFNWxn,alt-rock alternative dance rock
34,1c9MeAa2tLEoZl5osXf5Ts,alt-rock alternative funk metal rock
35,2Y0iGXY6m6immVb2ktbseM,alt-rock alternative indie rock
36,0y1QJc3SJVPKJ1OvFmFqe6,alt-rock alternative indie rock
37,4gHnSNHs8RyVukKoWdS99f,alt-rock alternative grunge rock
38,4kbj5MwxO1bq9wjT5g9HaA,alt-rock alternative rock
39,4CeeEOM32jQcH3eN9Q2dGj,alt-rock alternative grunge rock
40,1v3rsZZAH13mnXEEz3AEL5,alt-rock alternative rock
41,1bOENKlPYEDXyH9kLFUsnj,alt-rock alternative grunge metal rock
42,0FrFqoPT7JB0ezIU9g2OLC,alt-rock alternative indie metal rock
43,4fvKqLGqlsj7giLICaxTXl,alt-rock alternative latin rock
