,track_id,album_name,artists,track_name,release_date,track_genre,duration_ms,explicit,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,preview_url,popularity
0,2r5seNRSheLITyH4cevy2O,The Age Of Aquarius,The 5th Dimension,Let The Sunshine In (Reprise) - Remastered 2000,1969,bossanova,87800,False,https://api.spotify.com/v1/tracks/2r5seNRSheLITyH4cevy2O,0.455,0.783,11,-6.297,0,0.0444,0.0507,0.00163,0.154,0.648,118.446,4,https://p.scdn.co/mp3-preview/8ccd868455e591c7f0df9dbad5cefa7c353e2858?cid=1b0f76afafac4d4898811b950e1a0c08,62
1,32FfL5hpFQdweMkxg8Z55o,Raconte-moi... (Bonus Edition),"Stacey Kent, Jim Tomlinson, Graham Harvey, Matt Skelton, John Parricelli, Jeremy Brown, ",Les eaux de mars,2010-03-22,bossanova,218190,False,https://api.spotify.com/v1/tracks/32FfL5hpFQdweMkxg8Z55o,0.736,0.276,1,-12.762,1,0.0438,0.868,1.22e-05,0.0985,0.622,139.801,4,https://p.scdn.co/mp3-preview/e0c03d24bfee361960bdaa02b6e27ca4a51b1181?cid=1b0f76afafac4d4898811b950e1a0c08,60
3,3iB8eciGU9vZkaDYkz7Ir9,Gipsy Kings,Gipsy Kings,Bamboléo,1987-08-24,bossanova,203333,False,https://api.spotify.com/v1/tracks/3iB8eciGU9vZkaDYkz7Ir9,0.671,0.817,6,-12.107,0,0.0569,0.415,0.000235,0.0715,0.938,119.549,4,https://p.scdn.co/mp3-preview/26904f87f6baf7c9ab564605edf3536485f4afae?cid=1b0f76afafac4d4898811b950e1a0c08,68
4,3898C4AbdbptwYet6547e5,The Girl From Ipanema - The Bossa Nova Years,Stan Getz,The Girl From Ipanema,1989-01-01,bossanova,321826,False,https://api.spotify.com/v1/tracks/3898C4AbdbptwYet6547e5,0.664,0.194,5,-15.487,0,0.0357,0.909,3.85e-05,0.0829,0.443,129.863,4,,67
5,1TX4h6MrIZ0K3r4OOG11WO,A Voz e o Violão,Djavan,Flor de Lis,1975-01-01,bossanova,225266,False,https://api.spotify.com/v1/tracks/1TX4h6MrIZ0K3r4OOG11WO,0.549,0.502,2,-16.202,0,0.0493,0.223,0.0,0.0622,0.781,85.793,4,https://p.scdn.co/mp3-preview/0fc6a643702625eb24a6053cb8d8b1a992f4d9bf?cid=1b0f76afafac4d4898811b950e1a0c08,61
6,15ouqiBsgL12olEwP3COsH,Elis & Tom,"Elis Regina, Antônio Carlos Jobim, ",Águas De Março,1974-06-17,bossanova,214366,False,https://api.spotify.com/v1/tracks/15ouqiBsgL12olEwP3COsH,0.654,0.393,3,-13.392,1,0.129,0.865,2.97e-06,0.123,0.533,143.801,4,,66
7,3Ltil0t3nFOcGrlUF1itBs,I primi tempi,Paolo Conte,Via con me,1981-02-06,bossanova,166546,False,https://api.spotify.com/v1/tracks/3Ltil0t3nFOcGrlUF1itBs,0.663,0.479,5,-16.113,1,0.155,0.724,0.00281,0.135,0.714,164.938,4,https://p.scdn.co/mp3-preview/9b90c93c51ed9a4be111ff98f53e617cf1ce2634?cid=1b0f76afafac4d4898811b950e1a0c08,64
8,4SpqtLElDsO6KGbd4ub96Z,Miucha & Tom Jobim Vol. 1,"Miúcha, Antônio Carlos Jobim, ",Pela Luz dos Olhos Teus - Bonus Track,1977-07-15,bossanova,164160,False,https://api.spotify.com/v1/tracks/4SpqtLElDsO6KGbd4ub96Z,0.451,0.277,9,-11.615,1,0.059,0.876,0.0,0.118,0.783,116.679,3,https://p.scdn.co/mp3-preview/1e4c088009e9152e80a303192de90abcd2d101b0?cid=1b0f76afafac4d4898811b950e1a0c08,61
9,6qCjZi4wOpRZty2wZtyeO0,Ideologia,Cazuza,Faz Parte Do Meu Show,1988-01-01,bossanova,174000,False,https://api.spotify.com/v1/tracks/6qCjZi4wOpRZty2wZtyeO0,0.39,0.277,11,-13.61,1,0.0325,0.906,0.000922,0.1,0.21,144.26,4,,61
10,5u6y4u5EgDv0peILf60H5t,Abraxas,Santana,Oye Como Va,1970-09-23,bossanova,256933,False,https://api.spotify.com/v1/tracks/5u6y4u5EgDv0peILf60H5t,0.736,0.379,7,-13.208,1,0.0539,0.301,0.345,0.104,0.948,128.399,4,https://p.scdn.co/mp3-preview/e47372445f8c46cfb87971232fcce68c5e27ae24?cid=1b0f76afafac4d4898811b950e1a0c08,66
